#####################################################
# This file is used to log scrapes from crawlers.py #
#####################################################

New log created at 02:29:45 on 12/09/2014

Searched http://www.audiokeychain.com for the following:

Britney Spears, (You Drive Me) Crazy, NULL, 104.00, Null, Null, Null, 5A / Cm
Britney Spears, ...Baby One More Time, NULL, 93.00, Null, Null, Null, 6B / Bb
Nelly, 1000 Stacks, NULL, 90.00, Null, Null, Null, 9A / Em
Gorillaz, 19-2000, NULL, 90.00, Null, Null, Null, 9B / G
Gorillaz, 19-2000, NULL, 95.00, Null, Null, Null, 6A / Gm
Sky Ferreira, 24 Hours, NULL, 108.26, Null, Null, Null, 9A / Em
Britney Spears, 3, NULL, 130.00, Null, Null, Null, 3B / Db
Mike Posner, 31 Minutes To Takeoff (Keljet Remix), NULL, 128.00, Null, Null, Null, 1A / Abm
Gwen Stefani, 4 In The Morning, NULL, 92.50, Null, Null, Null, 9A / Em
Madonna, 4 Minutes Feat. Justin Timberlake, NULL, 116.50, Null, Null, Null, 6A / Gm
Avril Lavigne, 4 Real, NULL, 77.50, Null, Null, Null, 8A / Am
Kelis, 4th Of July (Fireworks), NULL, 124.00, Null, Null, Null, 9A / Em
Steps, 5, 6, 7, 8, NULL, 140.00, Null, Null, Null, 10B / D
Miley Cyrus, 7 Things, NULL, 107.00, Null, Null, Null, 12A / Dbm
Gym Class Heroes, 7 Weeks, NULL, 101.00, Null, Null, Null, 3A / Bbm
Katy Perry, 8th Grade is STILL Weird, NULL, 98.00, Null, Null, Null, 2A / Ebm
Jason Mraz, 93 Million Miles, NULL, 140.00, Null, Null, Null, 5B / Eb
Gym Class Heroes, A Beautiful Day, NULL, 129.00, Null, Null, Null, 8A / Am
Katy Perry, A Cup Of Coffee, NULL, 115.00, Null, Null, Null, 10B / D
Debarge, A Dream, NULL, 144.77, Null, Null, Null, 5A / Cm
Rihanna, A Girl Like Me, NULL, 82.00, Null, Null, Null, 3B / Db
Fergie, A Little Party Never Killed Nobody, NULL, 127.00, Null, Null, Null, 6A / Gm
Fergie, A Little Party Never Killed Nobody (All We Got), NULL, 130.00, Null, Null, Null, 3B / Db
Rihanna, A Million Miles Away, NULL, 83.00, Null, Null, Null, 10B / D
Teddy Geiger, A Million Years, NULL, 98.25, Null, Null, Null, 7B / F
Erin Mccarley, A Promise Is, NULL, 110.20, Null, Null, Null, 6B / Bb
Jessica Simpson, A Public Affair, NULL, 124.00, Null, Null, Null, 10A / Bm
Vanessa Carlton, A Thousand Miles, NULL, 95.00, Null, Null, Null, 1B / B
Christina Perri, A Thousand Years (Feat. Steve Kazee), NULL, 69.00, Null, Null, Null, 6B / Bb
Aaron Carter, Aaron's Party (Come Get It), NULL, 117.00, Null, Null, Null, 3B / Db
Kelis, Acapella, NULL, 128.00, Null, Null, Null, 2B / Gb
Karmin, Acapella, NULL, 85.00, Null, Null, Null, 10A / Bm
Alexis Jordan, Acid Rain, NULL, 128.00, Null, Null, Null, 4B / Ab
Shakira, Addicted To You, NULL, 126.00, Null, Null, Null, 9A / Em
Avril Lavigne, Adia, NULL, 76.00, Null, Null, Null, 5B / Eb
Esm&eacute;e Denters, Admit It, NULL, 113.00, Null, Null, Null, 9A / Em
Miley Cyrus, Adore You, NULL, 128.00, Null, Null, Null, 8B / C
Miley Cyrus, Adore You (Remix), NULL, 128.00, Null, Null, Null, 8B / C
Beyonc&eacute;, After All Is Said And Done, NULL, 146.00, Null, Null, Null, 4B / Ab
Lady Gaga, Again Again, NULL, 91.61, Null, Null, Null, 9B / G
Phil Collins, Against All Odds (Take A Look At Me Now), NULL, 116.27, Null, Null, Null, 3B / Db
Jennifer Lopez, Ain't It Funny Feat. Ja Rule, NULL, 89.50, Null, Null, Null, 5A / Cm
Lily Allen, Air Balloon, NULL, 95.00, Null, Null, Null, 4B / Ab
Teddy Geiger, Air Dry, NULL, 78.00, Null, Null, Null, 6B / Bb
The Cataracs, Alcohol, NULL, 128.00, Null, Null, Null, 11A / Gbm
Lady Gaga, Alejandro (Skrillex Remix), NULL, 127.00, Null, Null, Null, 10A / Bm
Avril Lavigne, Alice, NULL, 119.00, Null, Null, Null, 8B / C
Britney Spears, Alien, NULL, 112.00, Null, Null, Null, 8B / C
The Black Eyed Peas, Alive, NULL, 118.00, Null, Null, Null, 10A / Bm
Empire Of The Sun, Alive, NULL, 120.00, Null, Null, Null, 7B / F
Pixie Lott, All About Tonight, NULL, 129.23, Null, Null, Null, 10B / D
T.A.T.U., All About Us, NULL, 81.00, Null, Null, Null, 6A / Gm
Gorillaz, All Alone, NULL, 148.30, Null, Null, Null, 9B / G
The Everly Brothers, All I Have To Do Is Dream, NULL, 96.34, Null, Null, Null, 12B / E
Mariah Carey, All I Want For Christmas Is You, NULL, 75.00, Null, Null, Null, 9B / G
Lionel Richie, All Night Long (All Night), NULL, 108.62, Null, Null, Null, 3B / Db
Dirty Vegas, All Or Nothing, NULL, 100.00, Null, Null, Null, 9B / G
Eric Hutchinson, All Over Now, NULL, 156.50, Null, Null, Null, 10B / D
Justin Bieber, All That Matters, NULL, 130.00, Null, Null, Null, 3B / Db
Ace Of Base, All That She Wants, NULL, 93.77, Null, Null, Null, 1B / B
Ace Of Base, All That She Wants (Extended Dub), NULL, 94.00, Null, Null, Null, 1B / B
Passenger, All The Little Lights, NULL, 86.62, Null, Null, Null, 9A / Em
Kylie Minogue, All The Lovers, NULL, 120.00, Null, Null, Null, 8B / C
OneRepublic, All The Right Moves, NULL, 146.00, Null, Null, Null, 9B / G
T.A.T.U., All The Things She Said, NULL, 90.00, Null, Null, Null, 3B / Db
The White Tie Affair, Allow Me To Introduce Myself...Mr. Right, NULL, 117.00, Null, Null, Null, 6A / Gm
Ariana Grande, Almost Is Never Enough, NULL, 82.00, Null, Null, Null, 10B / D
A Fine Frenzy, Almost Lover, NULL, 120.00, Null, Null, Null, 8B / C
Avril Lavigne, Alone, NULL, 86.00, Null, Null, Null, 11B / A
Alyssa Reid, Alone Again, NULL, 86.00, Null, Null, Null, 3B / Db
Mariah Carey, Always Be My Baby, NULL, 79.00, Null, Null, Null, 11A / Gbm
Neil Diamond, America, NULL, 126.00, Null, Null, Null, 8B / C
Bonnie Mckee, American Girl, NULL, 128.00, Null, Null, Null, 5A / Cm
